id,dump_line,download_file,open_file,connect_socket,impersonate_user,sex,open_process,load_dll,kill_process,destroy_window,query_value,vm_protect,FILE_ANY_ACCESS,SECURITY_ANONYMOUS,create_open_file,Windows Desktop Search,find_file,open_key,classnum
0015c8c9ff02fea9d0f45692b9eebfb4abff4e42f,0,0,15,0,0,0,4,133,2,42,242,36,31,31,0,275,6,96,-1
001f298a534ae4b0db7f2707169250aa215c3b5f2,31,1,29,2,3,0,0,126,2,0,41,255,40,40,11,0,6,36,-1
001f5fdaaa8bbe20303527198d09a30bb7ca3eb50,0,0,0,3,0,0,0,19,0,0,2,0,1,1,0,0,0,2,-1
002ca2c41b649f85c05ae30013436781a932fecc6,280,0,45,5,3,0,1,141,2,40,300,72,102,102,7,275,17,152,-1
003e109543b4ea22d2bcc1ec309bf2fd34e9a1a1d,0,0,0,0,0,0,1,23,1,0,9,0,0,0,0,0,0,10,-1
004070b468d6bb29848c76cfCd5887849c7bb648d,31,1,29,2,3,0,0,128,2,0,41,245,40,40,11,0,6,36,-1
00461dd05c981edde167a5947c365472141e04bb1,0,0,54,0,2,0,4,190,2,42,467,104,6647,6647,6,278,1134,5768,-1
005b95d2520C8621171566f5803437b0c443778e1,0,0,0,0,0,0,0,13,1,0,12,0,1,1,0,0,0,5,-1
0071a3b818ed06d3865a24fdb31d4147c67fabfc5,0,0,0,0,0,0,0,26,1,3,7,0,8,8,0,0,5,14,-1
007436715ec13cedd38344772a2144a3d79f3ea68,6,0,6,2,0,0,0,73,1,1,19,0,9,9,1,0,1,27,-1
00810ef95f86daee349107255601afc51e9a7eba2,0,0,0,0,0,0,0,27,0,0,9,0,0,0,0,0,0,10,-1
00888535488746a0c494c41fbe93940f72aad0f30,0,0,0,0,0,0,0,14,1,0,12,0,1,1,0,0,0,5,-1
008cc72e6d82f36c8d4a95ab35e241b5e58411845,0,0,1,0,0,0,0,24,1,43,9,0,3,3,1,0,0,17,-1
00a2b881ddba2fbece1d2853bc8484072c0ad795b,26,0,19,1,3,0,0,93,1,0,534,55,28,28,5,0,6,511,-1
00ab51519cdf57cf9a53aa4e0caeada0753a36bd4,844,0,27,2,0,0,0,138,1,0,35,15,29,29,15,0,0,43,-1
00c0646c7dfd525f704f0f81dfa9f900e3357abf6,0,0,2,0,0,0,0,20,1,0,4,0,5,5,0,0,0,4,-1
00e379c843a3f67fb8d4A7832c0701d797f11f9f3,43,0,31,1,0,0,56,194,3,0,39,34,132,132,2,0,34,193,-1
00e586a3c25d97bc1b112cbad672a91ba238f4296,0,0,0,0,0,0,71,31,0,0,17,10,0,0,0,0,0,11,-1
00fb3b50ccfadd5b427aba20792bb95a4260db685,0,0,14,1,0,0,3,131,2,50,18,42,102,100,0,0,14,26,-1
010d1e20d98e8b87b4208a6b5c80f0C1c088037d8,0,0,2,0,0,0,1,27,1,43,9,0,4,4,1,0,0,17,-1
0113a8aead089b16a65f837b3524f58e84c34e303,0,0,17,0,0,0,3,133,2,42,242,36,49,49,0,275,6,96,-1
01178cc12a1c4340c520ce669728Ad3538ab2f0f1,0,0,0,0,0,0,0,26,1,3,7,0,8,8,0,0,5,14,-1
013652ef9219818cbfb498aaddb30c9774cdce199,0,0,12,0,0,0,0,46,2,0,6969,0,32,32,0,0,7,6966,-1
01392e526a68f01285549de36e16333e95e51ce60,4207,0,213,61,9,1,14,534,5,1,1565,750,351,351,47,275,32,1503,-1
01457a2418244506c274051df725c475d1f7d92d7,0,0,15,0,0,0,3,133,2,42,242,36,34,34,0,275,6,96,-1
0173a0d4005e410835b0fD49e3f02268265c3f8bb,0,0,0,0,0,0,0,26,1,3,7,0,8,8,0,0,5,14,-1
0175d1a73db8e4c2fd406628978721b2664d2deb8,0,0,0,0,0,0,0,27,1,0,12,0,1,1,0,0,0,5,-1
01d9d46e124041ac3e98E4fd9fea0ee0e838e3c15,26,0,1,1,0,0,0,25,0,0,8,0,2,2,1,0,0,11,-1
01ea0141110652ac0ecee45b753877bCe66a887cc,0,0,14,0,0,0,6,133,2,42,242,36,30,30,0,275,6,96,-1
02049c8003b0c4ef4f7524c0cb8add4a2fe78bc8f,13764,0,152,161,5,1,14,306,1,2,2263,278,256,256,50,0,21,2787,-1
022cc4a532bd85062d52516667c519b59cb8f419a,0,0,0,0,0,0,0,26,1,3,7,0,8,8,0,0,5,14,-1
023c00261dcaf806767f98513c4de1e29b7123644,0,0,0,0,0,0,0,26,0,0,36,0,0,0,0,0,0,11,-1
024b027b692a671388730bc598a28a51366d103ca,0,0,639,1,3,0,0,37392,0,0,1092,148,665,665,6,549,7,5638,-1
029b8627794ac19ce8df18110617586787ed9f84b,0,0,25,7,0,0,0,110,3,1,38,256,40,39,16,0,4,40,-1
029fd200642365a45173b6c43ea98c9c22141a46f,0,0,15,0,0,0,6,133,2,42,242,36,31,31,0,275,6,96,-1
02b8c7d0301b252ee6cebe72e68931cfd16df3d32,0,0,18,0,0,0,4,133,2,42,242,36,43,43,0,275,6,96,-1
02c6e4f6bada7f56394030e100085cc7f36cc4741,0,0,324,0,0,0,22,123,5,5,55,10,645,645,68,0,25,187,-1
02d57eefe3d00c56ed78becdda9d92a784fe243dc,0,0,0,0,0,0,0,26,1,3,7,0,8,8,0,0,5,14,-1
0312f8d09c1a7d3c7adadf9c377ab1dcf174bc5f5,0,0,1,0,0,0,2,24,1,43,9,0,3,3,1,0,0,17,-1
0314043eed05f84414345157c8d5c3bb152802159,0,0,0,0,0,0,0,26,1,3,7,0,8,8,0,0,5,14,-1
031924e957675a27504121655055fccc1ea7b048c,0,0,0,0,0,0,0,14,1,0,12,0,1,1,0,0,0,5,-1
031f039eef2630048003A82f28ca3468e13f66e65,0,0,15,0,0,0,3,133,2,42,242,36,31,31,0,275,6,96,-1
0323c5f1f60dc0c73a851992129a85cb59689e371,0,0,1,0,0,0,0,23,1,0,19,0,2,2,1,0,0,15,-1
032ef1E987f77687a3942322478e4c880f5b4067d,0,0,0,0,0,0,0,13,1,0,12,0,1,1,0,0,0,5,-1
